,Player,Att,Yds,Y/A,TD,Lng,Year
0,Nick Chubb,192.0,996.0,5.2,8,92.0,2018
1,Carlos Hyde,114.0,382.0,3.4,5,22.0,2018
2,Duke Johnson,40.0,201.0,5.0,0,23.0,2018
3,Baker Mayfield,39.0,131.0,3.4,0,35.0,2018
4,Tyrod Taylor,16.0,125.0,7.8,1,24.0,2018
5,Breshad Perriman,4.0,2.0,0.5,0,7.0,2018
6,Jarvis Landry*,3.0,60.0,20.0,1,51.0,2018
7,Antonio Callaway,2.0,7.0,3.5,0,15.0,2018
8,Rod Streater,1.0,-11.0,-11.0,0,-11.0,2018
0,Nick Chubb*,298.0,1494.0,5.0,8,88.0,2019
1,Kareem Hunt,43.0,179.0,4.2,2,16.0,2019
2,Baker Mayfield,28.0,141.0,5.0,3,18.0,2019
3,Dontrell Hilliard,13.0,49.0,3.8,2,11.0,2019
4,D'Ernest Johnson,4.0,21.0,5.3,0,13.0,2019
5,Odell Beckham Jr.,3.0,10.0,3.3,0,11.0,2019
6,Garrett Gilbert,3.0,-3.0,-1.0,0,-1.0,2019
7,Jarvis Landry*,1.0,10.0,10.0,0,10.0,2019
0,Kareem Hunt,198.0,841.0,4.2,6,33.0,2020
1,Nick Chubb*,190.0,1067.0,5.6,12,59.0,2020
2,Baker Mayfield,54.0,165.0,3.1,1,28.0,2020
3,D'Ernest Johnson,33.0,166.0,5.0,0,28.0,2020
4,Dontrell Hilliard,9.0,48.0,5.3,0,19.0,2020
5,Jarvis Landry,4.0,10.0,2.5,1,5.0,2020
6,Odell Beckham Jr.,3.0,72.0,24.0,1,50.0,2020
7,Andy Janovich,2.0,4.0,2.0,0,2.0,2020
8,Jamie Gillan,1.0,-2.0,-2.0,0,-2.0,2020
9,Jojo Natson,1.0,3.0,3.0,0,3.0,2020
0,Nick Chubb*,228.0,1259.0,5.5,8,70.0,2021
1,D'Ernest Johnson,100.0,534.0,5.3,3,30.0,2021
2,Kareem Hunt,78.0,386.0,4.9,5,33.0,2021
3,Baker Mayfield,37.0,134.0,3.6,1,14.0,2021
4,Case Keenum,12.0,22.0,1.8,0,10.0,2021
5,Demetric Felton,7.0,24.0,3.4,0,12.0,2021
6,Jarvis Landry,6.0,40.0,6.7,2,16.0,2021
7,Anthony Schwartz,6.0,39.0,6.5,0,17.0,2021
8,Johnny Stanton,3.0,5.0,1.7,0,3.0,2021
9,Odell Beckham Jr.,2.0,14.0,7.0,0,10.0,2021
10,Andy Janovich,2.0,0.0,0.0,1,1.0,2021
11,John Kelly,2.0,13.0,6.5,0,11.0,2021
12,David Njoku,1.0,1.0,1.0,0,1.0,2021
13,Jamie Gillan,1.0,0.0,0.0,0,-8.0,2021
0,Baker Mayfield,26.0,78.0,3.0,1,17.0,2022
1,Brandon Powell,5.0,27.0,5.4,0,15.0,2022
2,Cam Akers,87.0,452.0,5.2,4,42.0,2022
3,Christian McCaffrey,72.0,324.0,4.5,2,49.0,2022
4,Chuba Hubbard,4.0,28.0,7.0,0,14.0,2022
5,D'Onta Foreman,7.0,18.0,2.6,0,7.0,2022
6,D.J. Moore,5.0,39.0,7.8,0,11.0,2022
7,Kyren Williams,13.0,50.0,3.8,0,9.0,2022
8,Malcolm Brown,4.0,47.0,11.8,1,23.0,2022
9,Tutu Atwell,1.0,11.0,11.0,1,11.0,2022
