,Player,Tm,Att,Yds,TD,Lng,Y/A,Opponent,Year
1,Tyrod Taylor,CLE,4,22,0,,5.5,NYJ,2018
2,Carlos Hyde,CLE,23,98,2,22.0,4.3,NYJ,2018
3,Duke Johnson,CLE,2,9,0,8.0,4.5,NYJ,2018
4,Nick Chubb,CLE,2,6,0,6.0,3.0,NYJ,2018
0,Baker Mayfield,CLE,4,10,0,,2.5,OAK,2018
1,Nick Chubb,CLE,3,105,2,63.0,35.0,OAK,2018
2,Carlos Hyde,CLE,22,82,1,16.0,3.7,OAK,2018
3,Duke Johnson,CLE,2,11,0,,5.5,OAK,2018
0,Baker Mayfield,CLE,2,23,0,,11.5,BAL,2018
1,Carlos Hyde,CLE,17,63,0,17.0,3.7,BAL,2018
2,Duke Johnson,CLE,5,35,0,15.0,7.0,BAL,2018
3,Nick Chubb,CLE,3,2,0,2.0,0.7,BAL,2018
0,Baker Mayfield,CLE,2,8,0,,4.0,LAC,2018
1,Duke Johnson,CLE,2,36,0,23.0,18.0,LAC,2018
2,Carlos Hyde,CLE,14,34,0,9.0,2.4,LAC,2018
3,Nick Chubb,CLE,3,25,0,19.0,8.3,LAC,2018
0,Baker Mayfield,CLE,4,43,0,,10.8,TAM,2018
1,Nick Chubb,CLE,18,80,1,21.0,4.4,TAM,2018
0,Baker Mayfield,CLE,1,9,0,,9.0,PIT,2018
1,Nick Chubb,CLE,18,65,0,20.0,3.6,PIT,2018
2,Nick Chubb,CLE,22,85,1,17.0,3.9,KAN,2018
3,Breshad Perriman,CLE,2,9,0,7.0,4.5,KAN,2018
4,Duke Johnson,CLE,1,8,0,8.0,8.0,KAN,2018
0,Baker Mayfield,CLE,6,20,0,,3.3,ATL,2018
2,Nick Chubb,CLE,20,176,1,92.0,8.8,ATL,2018
3,Duke Johnson,CLE,3,15,0,9.0,5.0,ATL,2018
1,Nick Chubb,CLE,28,84,1,27.0,3.0,CIN,2018
2,Duke Johnson,CLE,2,16,0,13.0,8.0,CIN,2018
1,Nick Chubb,CLE,9,31,1,11.0,3.4,HOU,2018
0,Baker Mayfield,CLE,4,2,0,,0.5,CAR,2018
1,Jarvis Landry,CLE,2,54,1,,27.0,CAR,2018
2,Nick Chubb,CLE,13,66,1,29.0,5.1,CAR,2018
0,Baker Mayfield,CLE,4,6,0,,1.5,DEN,2018
1,Nick Chubb,CLE,20,100,0,40.0,5.0,DEN,2018
2,Duke Johnson,CLE,4,28,0,15.0,7.0,DEN,2018
0,Baker Mayfield,CLE,6,16,0,,2.7,CIN,2018
1,Jarvis Landry,CLE,1,6,0,,6.0,CIN,2018
2,Nick Chubb,CLE,19,112,0,22.0,5.9,CIN,2018
3,Duke Johnson,CLE,2,12,0,7.0,6.0,CIN,2018
1,Nick Chubb,CLE,9,24,0,13.0,2.7,BAL,2018
2,Duke Johnson,CLE,4,21,0,8.0,5.2,BAL,2018
3,Breshad Perriman,CLE,1,5,0,5.0,5.0,BAL,2018
1,Nick Chubb,CLE,17,75,0,15.0,4.4,TEN,2019
2,D'Ernest Johnson,CLE,1,13,0,13.0,13.0,TEN,2019
3,Jarvis Landry,CLE,1,10,0,10.0,10.0,TEN,2019
4,Dontrell Hilliard,CLE,1,4,1,4.0,4.0,TEN,2019
1,Nick Chubb,CLE,18,62,1,19.0,3.4,NYJ,2019
2,D'Ernest Johnson,CLE,3,8,0,6.0,2.7,NYJ,2019
1,Nick Chubb,CLE,23,96,0,13.0,4.2,LAR,2019
0,Baker Mayfield,CLE,3,1,0,1.0,0.3,BAL,2019
2,Nick Chubb,CLE,20,165,3,88.0,8.2,BAL,2019
3,Dontrell Hilliard,CLE,6,27,1,11.0,4.5,BAL,2019
1,Odell Beckham Jr.,CLE,2,15,0,11.0,7.5,SFO,2019
3,Nick Chubb,CLE,16,87,0,37.0,5.4,SFO,2019
0,Baker Mayfield,CLE,4,35,1,15.0,8.8,SEA,2019
1,Nick Chubb,CLE,20,122,2,52.0,6.1,SEA,2019
0,Baker Mayfield,CLE,1,18,0,18.0,18.0,NWE,2019
1,Nick Chubb,CLE,20,131,0,44.0,6.6,NWE,2019
2,Dontrell Hilliard,CLE,1,10,0,10.0,10.0,NWE,2019
0,Baker Mayfield,CLE,3,22,0,16.0,7.3,DEN,2019
1,Nick Chubb,CLE,20,65,0,11.0,3.2,DEN,2019
2,Dontrell Hilliard,CLE,5,8,0,4.0,1.6,DEN,2019
0,Baker Mayfield,CLE,2,1,0,2.0,0.5,BUF,2019
1,Nick Chubb,CLE,20,116,0,24.0,5.8,BUF,2019
2,Kareem Hunt,CLE,4,30,0,9.0,7.5,BUF,2019
0,Baker Mayfield,CLE,1,1,1,1.0,1.0,PIT,2019
1,Nick Chubb,CLE,27,92,0,12.0,3.4,PIT,2019
2,Kareem Hunt,CLE,6,12,0,7.0,2.0,PIT,2019
0,Baker Mayfield,CLE,2,5,0,5.0,2.5,MIA,2019
1,Nick Chubb,CLE,21,106,1,17.0,5.0,MIA,2019
2,Kareem Hunt,CLE,8,37,1,9.0,4.6,MIA,2019
0,Baker Mayfield,CLE,1,2,0,2.0,2.0,PIT,2019
2,Nick Chubb,CLE,16,58,0,12.0,3.6,PIT,2019
3,Kareem Hunt,CLE,7,46,0,16.0,6.6,PIT,2019
0,Baker Mayfield,CLE,2,13,1,7.0,6.5,CIN,2019
1,Nick Chubb,CLE,15,106,0,57.0,7.1,CIN,2019
2,Kareem Hunt,CLE,9,28,1,7.0,3.1,CIN,2019
0,Baker Mayfield,CLE,2,11,0,7.0,5.5,ARI,2019
1,Nick Chubb,CLE,17,127,1,33.0,7.5,ARI,2019
2,Kareem Hunt,CLE,4,14,0,6.0,3.5,ARI,2019
0,Baker Mayfield,CLE,2,4,0,5.0,2.0,BAL,2019
1,Kareem Hunt,CLE,2,8,0,6.0,4.0,BAL,2019
2,Nick Chubb,CLE,15,45,0,12.0,3.0,BAL,2019
0,Baker Mayfield,CLE,4,29,0,11.0,7.2,CIN,2019
1,Nick Chubb,CLE,13,41,0,8.0,3.2,CIN,2019
2,Kareem Hunt,CLE,3,4,0,5.0,1.3,CIN,2019
0,Baker Mayfield,CLE,2,3,0,4.0,1.5,BAL,2020
1,Kareem Hunt,CLE,13,72,0,22.0,5.5,BAL,2020
2,Nick Chubb,CLE,10,60,0,29.0,6.0,BAL,2020
3,D'Ernest Johnson,CLE,1,5,0,5.0,5.0,BAL,2020
0,Baker Mayfield,CLE,3,5,0,8.0,1.7,CIN,2020
1,Nick Chubb,CLE,22,124,2,26.0,5.6,CIN,2020
2,Kareem Hunt,CLE,10,86,1,33.0,8.6,CIN,2020
0,Baker Mayfield,CLE,1,1,0,1.0,1.0,WAS,2020
1,Nick Chubb,CLE,19,108,2,25.0,5.7,WAS,2020
2,Kareem Hunt,CLE,16,46,0,11.0,2.9,WAS,2020
3,Jojo Natson,CLE,1,3,0,3.0,3.0,WAS,2020
0,Baker Mayfield,CLE,3,6,0,8.0,2.0,DAL,2020
2,D'Ernest Johnson,CLE,13,95,0,28.0,7.3,DAL,2020
3,Odell Beckham Jr.,CLE,2,73,1,50.0,36.5,DAL,2020
4,Kareem Hunt,CLE,11,71,2,14.0,6.5,DAL,2020
5,Nick Chubb,CLE,6,43,0,21.0,7.2,DAL,2020
6,Dontrell Hilliard,CLE,5,19,0,10.0,3.8,DAL,2020
0,Baker Mayfield,CLE,2,17,0,16.0,8.5,IND,2020
2,Kareem Hunt,CLE,20,72,0,10.0,3.6,IND,2020
