,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Tm,Home Game,Opponent,Year
2,Carlos Hyde,2,2,5,2.5,0,5.0,CLE,1,NYJ,2018
3,Duke Johnson,2,2,24,12.0,0,15.0,CLE,1,NYJ,2018
5,Jarvis Landry,14,8,103,12.9,0,29.0,CLE,1,NYJ,2018
6,David Njoku,2,2,36,18.0,0,19.0,CLE,1,NYJ,2018
7,Rashard Higgins,3,3,32,10.7,0,19.0,CLE,1,NYJ,2018
8,Antonio Callaway,11,4,20,5.0,0,10.0,CLE,1,NYJ,2018
3,Duke Johnson,6,4,45,11.2,0,,CLE,1,OAK,2018
4,Rashard Higgins,5,4,61,15.2,0,23.0,CLE,1,OAK,2018
5,Antonio Callaway,9,3,54,18.0,0,59.0,CLE,1,OAK,2018
6,David Njoku,7,5,52,10.4,0,14.0,CLE,1,OAK,2018
7,Darren Fells,2,1,49,49.0,1,49.0,CLE,1,OAK,2018
8,Jarvis Landry,10,4,34,8.5,1,15.0,CLE,1,OAK,2018
1,Carlos Hyde,3,2,14,7.0,0,9.0,CLE,1,BAL,2018
2,Duke Johnson,1,1,7,7.0,0,7.0,CLE,1,BAL,2018
4,Jarvis Landry,11,5,69,13.8,0,27.0,CLE,1,BAL,2018
5,David Njoku,10,6,69,11.5,0,24.0,CLE,1,BAL,2018
6,Rashard Higgins,4,3,66,22.0,1,26.0,CLE,1,BAL,2018
7,Derrick Willies,5,3,61,20.3,0,39.0,CLE,1,BAL,2018
8,Seth Devalve,1,1,26,26.0,0,26.0,CLE,1,BAL,2018
9,Antonio Callaway,5,3,22,7.3,0,9.0,CLE,1,BAL,2018
10,Darren Fells,1,1,8,8.0,0,8.0,CLE,1,BAL,2018
1,Duke Johnson,5,4,73,18.2,0,32.0,CLE,1,LAC,2018
4,Damion Ratley,8,6,82,13.7,0,27.0,CLE,1,LAC,2018
5,David Njoku,12,7,55,7.9,1,22.0,CLE,1,LAC,2018
6,Jarvis Landry,10,2,11,5.5,0,7.0,CLE,1,LAC,2018
7,Antonio Callaway,7,2,9,4.5,0,,CLE,1,LAC,2018
8,Orson Charles,1,1,8,8.0,0,8.0,CLE,1,LAC,2018
2,Jarvis Landry,15,10,97,9.7,1,20.0,CLE,1,TAM,2018
3,David Njoku,6,4,52,13.0,1,23.0,CLE,1,TAM,2018
4,Damion Ratley,3,3,23,7.7,0,9.0,CLE,1,TAM,2018
5,Antonio Callaway,2,1,14,14.0,0,14.0,CLE,1,TAM,2018
6,Breshad Perriman,1,1,6,6.0,0,6.0,CLE,1,TAM,2018
7,Duke Johnson,4,4,23,5.8,0,7.0,CLE,1,TAM,2018
1,Nick Chubb,3,2,10,5.0,0,8.0,CLE,1,PIT,2018
2,Jarvis Landry,12,8,39,4.9,0,21.0,CLE,1,PIT,2018
3,Antonio Callaway,6,5,36,7.2,1,13.0,CLE,1,PIT,2018
4,Seth Devalve,2,2,28,14.0,1,24.0,CLE,1,PIT,2018
5,Dontrell Hilliard,1,1,24,24.0,0,24.0,CLE,1,PIT,2018
6,Damion Ratley,4,1,21,21.0,0,21.0,CLE,1,PIT,2018
7,Duke Johnson,3,2,16,8.0,0,8.0,CLE,1,PIT,2018
8,Darren Fells,1,1,6,6.0,0,6.0,CLE,1,PIT,2018
2,Nick Chubb,1,1,5,5.0,0,5.0,CLE,1,KAN,2018
3,Breshad Perriman,6,2,36,18.0,0,18.0,CLE,1,KAN,2018
4,Duke Johnson,9,9,78,8.7,2,23.0,CLE,1,KAN,2018
5,David Njoku,5,4,53,13.2,0,19.0,CLE,1,KAN,2018
6,Antonio Callaway,5,3,51,17.0,0,38.0,CLE,1,KAN,2018
7,Jarvis Landry,7,6,50,8.3,0,17.0,CLE,1,KAN,2018
8,Rashard Higgins,4,3,19,6.3,0,8.0,CLE,1,KAN,2018
9,Damion Ratley,4,2,16,8.0,0,9.0,CLE,1,KAN,2018
1,Dontrell Hilliard,1,1,6,6.0,0,,CLE,1,ATL,2018
2,Nick Chubb,3,3,33,11.0,1,13.0,CLE,1,ATL,2018
3,Duke Johnson,4,4,31,7.8,1,11.0,CLE,1,ATL,2018
4,Antonio Callaway,2,2,39,19.5,0,25.0,CLE,1,ATL,2018
