,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Home Game,Opponent,Season
10,Baker Mayfield,CLE,17,23,201,0,0,1,8,29.0,100.1,1,NYJ,2018
0,Baker Mayfield,CLE,21,41,295,2,2,2,16,59.0,70.7,0,OAK,2018
13,Baker Mayfield,CLE,25,43,342,1,1,5,38,39.0,81.7,1,BAL,2018
9,Baker Mayfield,CLE,22,46,238,1,2,5,24,32.0,52.6,1,LAC,2018
0,Baker Mayfield,CLE,23,34,215,2,0,5,29,23.0,104.4,0,TAM,2018
0,Baker Mayfield,CLE,22,36,180,2,1,2,17,24.0,80.8,0,PIT,2018
9,Baker Mayfield,CLE,29,42,297,2,1,2,22,38.0,95.0,1,KAN,2018
11,Baker Mayfield,CLE,17,20,216,3,0,0,0,28.0,151.2,1,ATL,2018
0,Baker Mayfield,CLE,19,26,258,4,0,0,0,24.0,143.9,0,CIN,2018
0,Baker Mayfield,CLE,29,43,397,1,3,0,0,71.0,75.4,0,HOU,2018
10,Baker Mayfield,CLE,18,22,238,1,0,1,6,66.0,126.9,1,CAR,2018
0,Baker Mayfield,CLE,18,31,188,2,1,2,13,31.0,83.8,0,DEN,2018
8,Baker Mayfield,CLE,27,37,284,3,0,0,0,66.0,121.9,1,CIN,2018
0,Baker Mayfield,CLE,23,42,376,3,3,0,0,48.0,79.1,0,BAL,2018
11,Baker Mayfield,CLE,25,38,285,1,3,5,41,35.0,64.0,1,TEN,2019
0,Baker Mayfield,CLE,19,35,325,1,1,3,20,89.0,83.6,0,NYJ,2019
8,Baker Mayfield,CLE,18,36,195,1,1,3,20,30.0,64.0,1,LAR,2019
0,Baker Mayfield,CLE,20,30,342,1,1,1,5,65.0,102.4,0,BAL,2019
0,Baker Mayfield,CLE,8,22,100,0,2,4,42,25.0,13.4,0,SFO,2019
11,Baker Mayfield,CLE,22,37,249,1,3,0,0,41.0,54.9,1,SEA,2019
0,Baker Mayfield,CLE,20,31,194,1,1,5,43,31.0,79.2,0,NWE,2019
0,Baker Mayfield,CLE,27,42,273,1,0,2,12,41.0,90.7,0,DEN,2019
